# Title: Bacterial cheating drives the population dynamics of cooperative antibiotic resistance plasmids
# Data source: Yurtsev EA, Chao HX, Datta MS, Artemova T, Gore J (2013) Bacterial cheating drives the population dynamics of cooperative antibiotic resistance plasmids. Molecular Systems Biology 9:683. https://doi.org/10.1038/msb.2013.39
# Data authors: Eugene A Yurtsev, Hui Xiao Chao, Manoshi S Datta, Tatiana Artemova, Jeff Gore
# File author: jeff smith
# Last modified: 2025-01
# Description: These experiments grew many bacterial populations over a single cycle in a variety of environments (different ampicillin concentrations) from a variety of initial starting conditions (changing both the total initial cell density and the relative abundance of resistant and sensitive bacteria). 
# 
# ampicillin: Antibiotic concentration in micrograms per ml
# dilution: The amount by which the culture was diluted, ODi (at t+1) should be ODf (at t) divided by the dilution factor
# culture_id: provided for convenience, but **not unique**, use ampicillin concentrations and replicate to identify cultures uniquely   
# replicate: Integer to indicate from which experiment the data came from
# OD_initial: Initial population density (measured in units of optical density), population density at beginning of growth cycle measurement corrected for non-linear effects and background
# OD_final: Final population density (measured in units of optical density), population density at end of growth cycle measurement corrected for non-linear effects and background
# fraction_resistant_initial: Initial fraction of resistant cells (measured using flow cytometry), fraction of resistant cells at the beginning of the growth cycle
# fraction_resistant_final: Final fraction of resistant cells (measured using flow cytometry), fraction of resistant cells at end of growth cycle
ampicillin,dilution,replicate,culture_id,OD_initial,OD_final,fraction_resistant_initial,fraction_resistant_final
0,100,0,0,0.0143875503769,1.66497644173,-3.78452263225e-4,-1.69470519737e-4
0,100,0,1,0.0142401998475,1.45360386629,0.0473674563043,0.0256142444389
0,100,0,2,0.0166260103167,1.66260103167,0.0831943960594,0.0559489629423
0,100,0,3,0.0139488432381,1.735171562,0.136097043386,0.0795238820998
0,100,0,4,0.0157444308372,1.76999838446,0.190920772547,0.114104900145
0,100,0,5,0.015880968822,1.47932882543,0.23461782605,0.138285654515
0,100,0,6,0.0173270790066,1.5518999942,0.265633547252,0.171246540465
0,100,0,7,0.0158125786528,1.35603614118,0.324992403666,0.201450905089
0,100,0,8,0.0143242618509,1.62266161748,0.361009958505,0.234873041605
0,100,0,9,0.0170581391191,1.21179773734,0.400654211988,0.268894246162
0,100,0,10,0.0157444308372,1.45786753308,0.449678260779,0.265765309747
0,100,0,11,0.0154742291481,0.986977900735,0.47439638615,0.354114950936
0,100,0,12,0.0172288469659,1.60414981218,0.542667434497,0.382720003133
0,100,0,13,0.0167689770446,1.44934963159,0.591551139321,0.428448084258
0,100,0,14,0.0156539411218,1.36008866335,0.617810288473,0.463911554623
0,100,0,15,0.0172533579747,1.57217684587,0.678747495291,0.51204219487
0,100,0,16,0.0160876108434,1.1308975079,0.714067570837,0.577145605298
0,100,0,17,0.0153405387701,1.35603614118,0.747356992702,0.626314273248
0,100,0,18,0.0149667198842,1.35199214098,0.801165508552,0.668612303388
0,100,0,19,0.0154966015163,1.3866402881,0.823349592323,0.72455115842
0,100,0,20,0.0168648821057,1.53183471206,0.873590378321,0.780015027296
0,100,0,21,0.0159725357014,1.42401998475,0.920827761832,0.837736703197
0,100,0,22,0.0167450753253,1.29037379984,0.951761571322,0.914530591378
0,100,0,23,0.0162266161748,1.33189872558,0.994172302108,0.988411106786
3,100,0,0,0.0143875503769,0.995349477429,-3.78452263225e-4,NA
3,100,0,1,0.0142401998475,1.36211813141,0.0473674563043,0.0216530129808
3,100,0,2,0.0166260103167,1.37638469502,0.0831943960594,0.0512693026859
3,100,0,3,0.0139488432381,1.46428081022,0.136097043386,0.0831256041447
3,100,0,4,0.0157444308372,1.44722603825,0.190920772547,0.107201092924
3,100,0,5,0.015880968822,1.52298357234,0.23461782605,0.146340606942
3,100,0,6,0.0173270790066,1.2554810073,0.265633547252,0.171551816048
3,100,0,7,0.0158125786528,1.19311019307,0.324992403666,0.197838984951
3,100,0,8,0.0143242618509,1.62964974536,0.361009958505,0.231088569402
3,100,0,9,0.0170581391191,1.27867238298,0.400654211988,0.274946237474
3,100,0,10,0.0157444308372,1.37638469502,0.449678260779,0.309271624953
3,100,0,11,0.0154742291481,1.30214685286,0.47439638615,0.354904126855
3,100,0,12,0.0172288469659,1.41147918285,0.542667434497,0.376138709389
3,100,0,13,0.0167689770446,1.36414974348,0.591551139321,0.443373244368
3,100,0,14,0.0156539411218,1.36821941779,0.617810288473,0.463483718609
3,100,0,15,0.0172533579747,1.29233097698,0.678747495291,0.510993396824
3,100,0,16,0.0160876108434,1.36414974348,0.714067570837,0.58465807221
3,100,0,17,0.0153405387701,1.41773936116,0.747356992702,0.621838714752
3,100,0,18,0.0149667198842,1.41565036993,0.801165508552,0.675531779174
3,100,0,19,0.0154966015163,1.44722603825,0.823349592323,0.729624249696
3,100,0,20,0.0168648821057,1.39901963266,0.873590378321,0.791468504483
3,100,0,21,0.0159725357014,1.45786753308,0.920827761832,0.856891687938
3,100,0,22,0.0167450753253,1.4408692922,0.951761571322,0.915939258221
3,100,0,23,0.0162266161748,1.26511011496,0.994172302108,0.991345693805
